231A..231B    ; Basic_Emoji                  ; watch                                                          # E0.6   [2] (⌚..⌛)
1F40F..1F410  ; Basic_Emoji                  ; ram                                                            # E1.0   [2] (🐏..🐐)
1F411..1F412  ; Basic_Emoji                  ; ewe                                                            # E0.6   [2] (🐑..🐒)
1F413         ; Basic_Emoji                  ; rooster                                                        # E1.0   [1] (🐓)
1F414         ; Basic_Emoji                  ; chicken                                                        # E0.6   [1] (🐔)
1F415         ; Basic_Emoji                  ; dog                                                            # E0.7   [1] (🐕)
1F416         ; Basic_Emoji                  ; pig                                                            # E1.0   [1] (🐖)
1F417..1F429  ; Basic_Emoji                  ; boar                                                           # E0.6  [19] (🐗..🐩)
1F42A         ; Basic_Emoji                  ; camel                                                          # E1.0   [1] (🐪)
1F42B..1F43E  ; Basic_Emoji                  ; two-hump camel                                                 # E0.6  [20] (🐫..🐾)
1F440         ; Basic_Emoji                  ; eyes                                                           # E0.6   [1] (👀)
1F442..1F464  ; Basic_Emoji                  ; ear                                                            # E0.6  [35] (👂..👤)
1F465         ; Basic_Emoji                  ; busts in silhouette                                            # E1.0   [1] (👥)
1F466..1F46B  ; Basic_Emoji                  ; boy                                                            # E0.6   [6] (👦..👫)
1F46C..1F46D  ; Basic_Emoji                  ; men holding hands                                              # E1.0   [2] (👬..👭)
1F46E..1F4AC  ; Basic_Emoji                  ; police officer                                                 # E0.6  [63] (👮..💬)
1F4AD         ; Basic_Emoji                  ; thought balloon                                                # E1.0   [1] (💭)
1F4AE..1F4B5  ; Basic_Emoji                  ; white flower                                                   # E0.6   [8] (💮..💵)
1F4B6..1F4B7  ; Basic_Emoji                  ; euro banknote                                                  # E1.0   [2] (💶..💷)
1F4B8..1F4EB  ; Basic_Emoji                  ; money with wings                                               # E0.6  [52] (💸..📫)
1F4EC..1F4ED  ; Basic_Emoji                  ; open mailbox with raised flag                                  # E0.7   [2] (📬..📭)
1F4EE         ; Basic_Emoji                  ; postbox                                                        # E0.6   [1] (📮)
1F4EF         ; Basic_Emoji                  ; postal horn                                                    # E1.0   [1] (📯)
1F4F0..1F4F4  ; Basic_Emoji                  ; newspaper                                                      # E0.6   [5] (📰..📴)
1F4F5         ; Basic_Emoji                  ; no mobile phones                                               # E1.0   [1] (📵)
1F4F6..1F4F7  ; Basic_Emoji                  ; antenna bars                                                   # E0.6   [2] (📶..📷)
1F4F8         ; Basic_Emoji                  ; camera with flash                                              # E1.0   [1] (📸)
1F4F9..1F4FC  ; Basic_Emoji                  ; video camera                                                   # E0.6   [4] (📹..📼)
1F4FF..1F502  ; Basic_Emoji                  ; prayer beads                                                   # E1.0   [4] (📿..🔂)
1F503         ; Basic_Emoji                  ; clockwise vertical arrows                                      # E0.6   [1] (🔃)
1F504..1F507  ; Basic_Emoji                  ; counterclockwise arrows button                                 # E1.0   [4] (🔄..🔇)
1F508         ; Basic_Emoji                  ; speaker low volume                                             # E0.7   [1] (🔈)
1F509         ; Basic_Emoji                  ; speaker medium volume                                          # E1.0   [1] (🔉)
1F50A..1F514  ; Basic_Emoji                  ; speaker high volume                                            # E0.6  [11] (🔊..🔔)
1F515         ; Basic_Emoji                  ; bell with slash                                                # E1.0   [1] (🔕)
1F516..1F52B  ; Basic_Emoji                  ; bookmark                                                       # E0.6  [22] (🔖..🔫)
1F52C..1F52D  ; Basic_Emoji                  ; microscope                                                     # E1.0   [2] (🔬..🔭)
1F52E..1F53D  ; Basic_Emoji                  ; crystal ball                                                   # E0.6  [16] (🔮..🔽)
1F54B..1F54E  ; Basic_Emoji                  ; kaaba                                                          # E1.0   [4] (🕋..🕎)
1F550..1F55B  ; Basic_Emoji                  ; one o’clock                                                    # E0.6  [12] (🕐..🕛)
1F55C..1F567  ; Basic_Emoji                  ; one-thirty                                                     # E0.7  [12] (🕜..🕧)
1F57A         ; Basic_Emoji                  ; man dancing                                                    # E3.0   [1] (🕺)
1F595..1F596  ; Basic_Emoji                  ; middle finger                                                  # E1.0   [2] (🖕..🖖)
1F5A4         ; Basic_Emoji                  ; black heart                                                    # E3.0   [1] (🖤)
1F5FB..1F5FF  ; Basic_Emoji                  ; mount fuji                                                     # E0.6   [5] (🗻..🗿)
1F600         ; Basic_Emoji                  ; grinning face                                                  # E1.0   [1] (😀)
1F601..1F606  ; Basic_Emoji                  ; beaming face with smiling eyes                                 # E0.6   [6] (😁..😆)
1F607..1F608  ; Basic_Emoji                  ; smiling face with halo                                         # E1.0   [2] (😇..😈)
1F609..1F60D  ; Basic_Emoji                  ; winking face                                                   # E0.6   [5] (😉..😍)
1F60E         ; Basic_Emoji                  ; smiling face with sunglasses                                   # E1.0   [1] (😎)
1F60F         ; Basic_Emoji                  ; smirking face                                                  # E0.6   [1] (😏)
1F610         ; Basic_Emoji                  ; neutral face                                                   # E0.7   [1] (😐)
1F611         ; Basic_Emoji                  ; expressionless face                                            # E1.0   [1] (😑)
1F612..1F614  ; Basic_Emoji                  ; unamused face                                                  # E0.6   [3] (😒..😔)
1F615         ; Basic_Emoji                  ; confused face                                                  # E1.0   [1] (😕)
1F616         ; Basic_Emoji                  ; confounded face                                                # E0.6   [1] (😖)
1F617         ; Basic_Emoji                  ; kissing face                                                   # E1.0   [1] (😗)
1F618         ; Basic_Emoji                  ; face blowing a kiss                                            # E0.6   [1] (😘)
1F619         ; Basic_Emoji                  ; kissing face with smiling eyes                                 # E1.0   [1] (😙)
1F61A         ; Basic_Emoji                  ; kissing face with closed eyes                                  # E0.6   [1] (😚)
1F61B         ; Basic_Emoji                  ; face with tongue                                               # E1.0   [1] (😛)
1F61C..1F61E  ; Basic_Emoji                  ; winking face with tongue                                       # E0.6   [3] (😜..😞)
1F61F         ; Basic_Emoji                  ; worried face                                                   # E1.0   [1] (😟)
1F620..1F625  ; Basic_Emoji                  ; angry face                                                     # E0.6   [6] (😠..😥)
1F626..1F627  ; Basic_Emoji                  ; frowning face with open mouth                                  # E1.0   [2] (😦..😧)
1F628..1F62B  ; Basic_Emoji                  ; fearful face                                                   # E0.6   [4] (😨..😫)
1F62C         ; Basic_Emoji                  ; grimacing face                                                 # E1.0   [1] (😬)
1F62D         ; Basic_Emoji                  ; loudly crying face                                             # E0.6   [1] (😭)
1F62E..1F62F  ; Basic_Emoji                  ; face with open mouth                                           # E1.0   [2] (😮..😯)
1F630..1F633  ; Basic_Emoji                  ; anxious face with sweat                                        # E0.6   [4] (😰..😳)
1F634         ; Basic_Emoji                  ; sleeping face                                                  # E1.0   [1] (😴)
1F635         ; Basic_Emoji                  ; dizzy face                                                     # E0.6   [1] (😵)
1F636         ; Basic_Emoji                  ; face without mouth                                             # E1.0   [1] (😶)
1F637..1F640  ; Basic_Emoji                  ; face with medical mask                                         # E0.6  [10] (😷..🙀)
1F641..1F644  ; Basic_Emoji                  ; slightly frowning face                                         # E1.0   [4] (🙁..🙄)
1F645..1F64F  ; Basic_Emoji                  ; person gesturing NO                                            # E0.6  [11] (🙅..🙏)
1F680         ; Basic_Emoji                  ; rocket                                                         # E0.6   [1] (🚀)
1F681..1F682  ; Basic_Emoji                  ; helicopter                                                     # E1.0   [2] (🚁..🚂)
1F683..1F685  ; Basic_Emoji                  ; railway car                                                    # E0.6   [3] (🚃..🚅)
1F686         ; Basic_Emoji                  ; train                                                          # E1.0   [1] (🚆)
1F687         ; Basic_Emoji                  ; metro                                                          # E0.6   [1] (🚇)
1F688         ; Basic_Emoji                  ; light rail                                                     # E1.0   [1] (🚈)
1F689         ; Basic_Emoji                  ; station                                                        # E0.6   [1] (🚉)
1F68A..1F68B  ; Basic_Emoji                  ; tram                                                           # E1.0   [2] (🚊..🚋)
1F68C         ; Basic_Emoji                  ; bus                                                            # E0.6   [1] (🚌)
1F68D         ; Basic_Emoji                  ; oncoming bus                                                   # E0.7   [1] (🚍)
1F68E         ; Basic_Emoji                  ; trolleybus                                                     # E1.0   [1] (🚎)
1F68F         ; Basic_Emoji                  ; bus stop                                                       # E0.6   [1] (🚏)
1F690         ; Basic_Emoji                  ; minibus                                                        # E1.0   [1] (🚐)
1F691..1F693  ; Basic_Emoji                  ; ambulance                                                      # E0.6   [3] (🚑..🚓)
1F694         ; Basic_Emoji                  ; oncoming police car                                            # E0.7   [1] (🚔)
1F695         ; Basic_Emoji                  ; taxi                                                           # E0.6   [1] (🚕)
1F696         ; Basic_Emoji                  ; oncoming taxi                                                  # E1.0   [1] (🚖)
1F697         ; Basic_Emoji                  ; automobile                                                     # E0.6   [1] (🚗)
1F698         ; Basic_Emoji                  ; oncoming automobile                                            # E0.7   [1] (🚘)
1F699..1F69A  ; Basic_Emoji                  ; sport utility vehicle                                          # E0.6   [2] (🚙..🚚)
1F69B..1F6A1  ; Basic_Emoji                  ; articulated lorry                                              # E1.0   [7] (🚛..🚡)
1F6A2         ; Basic_Emoji                  ; ship                                                           # E0.6   [1] (🚢)
1F6A3         ; Basic_Emoji                  ; person rowing boat                                             # E1.0   [1] (🚣)
1F6A4..1F6A5  ; Basic_Emoji                  ; speedboat                                                      # E0.6   [2] (🚤..🚥)
1F6A6         ; Basic_Emoji                  ; vertical traffic light                                         # E1.0   [1] (🚦)
1F6A7..1F6AD  ; Basic_Emoji                  ; construction                                                   # E0.6   [7] (🚧..🚭)
1F6AE..1F6B1  ; Basic_Emoji                  ; litter in bin sign                                             # E1.0   [4] (🚮..🚱)
1F6B2         ; Basic_Emoji                  ; bicycle                                                        # E0.6   [1] (🚲)
1F6B3..1F6B5  ; Basic_Emoji                  ; no bicycles                                                    # E1.0   [3] (🚳..🚵)
1F6B6         ; Basic_Emoji                  ; person walking                                                 # E0.6   [1] (🚶)
1F6B7..1F6B8  ; Basic_Emoji                  ; no pedestrians                                                 # E1.0   [2] (🚷..🚸)
1F6B9..1F6BE  ; Basic_Emoji                  ; men’s room                                                     # E0.6   [6] (🚹..🚾)
1F6BF         ; Basic_Emoji                  ; shower                                                         # E1.0   [1] (🚿)
1F6C0         ; Basic_Emoji                  ; person taking bath                                             # E0.6   [1] (🛀)
1F6C1..1F6C5  ; Basic_Emoji                  ; bathtub                                                        # E1.0   [5] (🛁..🛅)
1F6CC         ; Basic_Emoji                  ; person in bed                                                  # E1.0   [1] (🛌)
1F6D0         ; Basic_Emoji                  ; place of worship                                               # E1.0   [1] (🛐)
1F6D1..1F6D2  ; Basic_Emoji                  ; stop sign                                                      # E3.0   [2] (🛑..🛒)
1F6D5         ; Basic_Emoji                  ; hindu temple                                                   # E12.0  [1] (🛕)
1F6D6..1F6D7  ; Basic_Emoji                  ; hut                                                            # E13.0  [2] (🛖..🛗)
1F6EB..1F6EC  ; Basic_Emoji                  ; airplane departure                                             # E1.0   [2] (🛫..🛬)
1F6F4..1F6F6  ; Basic_Emoji                  ; kick scooter                                                   # E3.0   [3] (🛴..🛶)
1F6F7..1F6F8  ; Basic_Emoji                  ; sled                                                           # E5.0   [2] (🛷..🛸)
1F6F9         ; Basic_Emoji                  ; skateboard                                                     # E11.0  [1] (🛹)
1F6FA         ; Basic_Emoji                  ; auto rickshaw                                                  # E12.0  [1] (🛺)
1F6FB..1F6FC  ; Basic_Emoji                  ; pickup truck                                                   # E13.0  [2] (🛻..🛼)
1F7E0..1F7EB  ; Basic_Emoji                  ; orange circle                                                  # E12.0 [12] (🟠..🟫)
1F90C         ; Basic_Emoji                  ; pinched fingers                                                # E13.0  [1] (🤌)
1F90D..1F90F  ; Basic_Emoji                  ; white heart                                                    # E12.0  [3] (🤍..🤏)
1F910..1F918  ; Basic_Emoji                  ; zipper-mouth face                                              # E1.0   [9] (🤐..🤘)
1F919..1F91E  ; Basic_Emoji                  ; call me hand                                                   # E3.0   [6] (🤙..🤞)
1F91F         ; Basic_Emoji                  ; love-you gesture                                               # E5.0   [1] (🤟)
1F920..1F927  ; Basic_Emoji                  ; cowboy hat face                                                # E3.0   [8] (🤠..🤧)
1F928..1F92F  ; Basic_Emoji                  ; face with raised eyebrow                                       # E5.0   [8] (🤨..🤯)
1F930         ; Basic_Emoji                  ; pregnant woman                                                 # E3.0   [1] (🤰)
1F931..1F932  ; Basic_Emoji                  ; breast-feeding                                                 # E5.0   [2] (🤱..🤲)
1F933..1F93A  ; Basic_Emoji                  ; selfie                                                         # E3.0   [8] (🤳..🤺)
1F93C..1F93E  ; Basic_Emoji                  ; people wrestling                                               # E3.0   [3] (🤼..🤾)
1F93F         ; Basic_Emoji                  ; diving mask                                                    # E12.0  [1] (🤿)
1F940..1F945  ; Basic_Emoji                  ; wilted flower                                                  # E3.0   [6] (🥀..🥅)
1F947..1F94B  ; Basic_Emoji                  ; 1st place medal                                                # E3.0   [5] (🥇..🥋)
1F94C         ; Basic_Emoji                  ; curling stone                                                  # E5.0   [1] (🥌)
1F94D..1F94F  ; Basic_Emoji                  ; lacrosse                                                       # E11.0  [3] (🥍..🥏)
1F950..1F95E  ; Basic_Emoji                  ; croissant                                                      # E3.0  [15] (🥐..🥞)
1F95F..1F96B  ; Basic_Emoji                  ; dumpling                                                       # E5.0  [13] (🥟..🥫)
1F96C..1F970  ; Basic_Emoji                  ; leafy green                                                    # E11.0  [5] (🥬..🥰)
1F971         ; Basic_Emoji                  ; yawning face                                                   # E12.0  [1] (🥱)
1F972         ; Basic_Emoji                  ; smiling face with tear                                         # E13.0  [1] (🥲)
1F973..1F976  ; Basic_Emoji                  ; partying face                                                  # E11.0  [4] (🥳..🥶)
1F977..1F978  ; Basic_Emoji                  ; ninja                                                          # E13.0  [2] (🥷..🥸)
1F97A         ; Basic_Emoji                  ; pleading face                                                  # E11.0  [1] (🥺)
1F97B         ; Basic_Emoji                  ; sari                                                           # E12.0  [1] (🥻)
1F97C..1F97F  ; Basic_Emoji                  ; lab coat                                                       # E11.0  [4] (🥼..🥿)
1F980..1F984  ; Basic_Emoji                  ; crab                                                           # E1.0   [5] (🦀..🦄)
1F985..1F991  ; Basic_Emoji                  ; eagle                                                          # E3.0  [13] (🦅..🦑)
1F992..1F997  ; Basic_Emoji                  ; giraffe                                                        # E5.0   [6] (🦒..🦗)
1F998..1F9A2  ; Basic_Emoji                  ; kangaroo                                                       # E11.0 [11] (🦘..🦢)
1F9A3..1F9A4  ; Basic_Emoji                  ; mammoth                                                        # E13.0  [2] (🦣..🦤)
1F9A5..1F9AA  ; Basic_Emoji                  ; sloth                                                          # E12.0  [6] (🦥..🦪)
1F9AB..1F9AD  ; Basic_Emoji                  ; beaver                                                         # E13.0  [3] (🦫..🦭)
1F9AE..1F9AF  ; Basic_Emoji                  ; guide dog                                                      # E12.0  [2] (🦮..🦯)
1F9B0..1F9B9  ; Basic_Emoji                  ; red hair                                                       # E11.0 [10] (🦰..🦹)
1F9BA..1F9BF  ; Basic_Emoji                  ; safety vest                                                    # E12.0  [6] (🦺..🦿)
1F9C0         ; Basic_Emoji                  ; cheese wedge                                                   # E1.0   [1] (🧀)
1F9C1..1F9C2  ; Basic_Emoji                  ; cupcake                                                        # E11.0  [2] (🧁..🧂)
1F9C3..1F9CA  ; Basic_Emoji                  ; beverage box                                                   # E12.0  [8] (🧃..🧊)
1F9CB         ; Basic_Emoji                  ; bubble tea                                                     # E13.0  [1] (🧋)
1F9CD..1F9CF  ; Basic_Emoji                  ; person standing                                                # E12.0  [3] (🧍..🧏)
1F9D0..1F9E6  ; Basic_Emoji                  ; face with monocle                                              # E5.0  [23] (🧐..🧦)
1F9E7..1F9FF  ; Basic_Emoji                  ; red envelope                                                   # E11.0 [25] (🧧..🧿)
1FA70..1FA73  ; Basic_Emoji                  ; ballet shoes                                                   # E12.0  [4] (🩰..🩳)
1FA74         ; Basic_Emoji                  ; thong sandal                                                   # E13.0  [1] (🩴)
1FA78..1FA7A  ; Basic_Emoji                  ; drop of blood                                                  # E12.0  [3] (🩸..🩺)
1FA80..1FA82  ; Basic_Emoji                  ; yo-yo                                                          # E12.0  [3] (🪀..🪂)
1FA83..1FA86  ; Basic_Emoji                  ; boomerang                                                      # E13.0  [4] (🪃..🪆)
1FA90..1FA95  ; Basic_Emoji                  ; ringed planet                                                  # E12.0  [6] (🪐..🪕)
1FA96..1FAA8  ; Basic_Emoji                  ; military helmet                                                # E13.0 [19] (🪖..🪨)
1FAB0..1FAB6  ; Basic_Emoji                  ; fly                                                            # E13.0  [7] (🪰..🪶)
1FAC0..1FAC2  ; Basic_Emoji                  ; anatomical heart                                               # E13.0  [3] (🫀..🫂)
1FAD0..1FAD6  ; Basic_Emoji                  ; blueberries                                                    # E13.0  [7] (🫐..🫖)
00A9 FE0F     ; Basic_Emoji                  ; copyright                                                      # E0.6   [1] (©️)
00AE FE0F     ; Basic_Emoji                  ; registered                                                     # E0.6   [1] (®️)
203C FE0F     ; Basic_Emoji                  ; double exclamation mark                                        # E0.6   [1] (‼️)
2049 FE0F     ; Basic_Emoji                  ; exclamation question mark                                      # E0.6   [1] (⁉️)
2122 FE0F     ; Basic_Emoji                  ; trade mark                                                     # E0.6   [1] (™️)
2139 FE0F     ; Basic_Emoji                  ; information                                                    # E0.6   [1] (ℹ️)
2194 FE0F     ; Basic_Emoji                  ; left-right arrow                                               # E0.6   [1] (↔️)
2195 FE0F     ; Basic_Emoji                  ; up-down arrow                                                  # E0.6   [1] (↕️)
2196 FE0F     ; Basic_Emoji                  ; up-left arrow                                                  # E0.6   [1] (↖️)
2197 FE0F     ; Basic_Emoji                  ; up-right arrow                                                 # E0.6   [1] (↗️)
2198 FE0F     ; Basic_Emoji                  ; down-right arrow                                               # E0.6   [1] (↘️)
2199 FE0F     ; Basic_Emoji                  ; down-left arrow                                                # E0.6   [1] (↙️)
21A9 FE0F     ; Basic_Emoji                  ; right arrow curving left                                       # E0.6   [1] (↩️)
21AA FE0F     ; Basic_Emoji                  ; left arrow curving right                                       # E0.6   [1] (↪️)
2328 FE0F     ; Basic_Emoji                  ; keyboard                                                       # E1.0   [1] (⌨️)
23CF FE0F     ; Basic_Emoji                  ; eject button                                                   # E1.0   [1] (⏏️)
23ED FE0F     ; Basic_Emoji                  ; next track button                                              # E0.7   [1] (⏭️)
23EE FE0F     ; Basic_Emoji                  ; last track button                                              # E0.7   [1] (⏮️)
23EF FE0F     ; Basic_Emoji                  ; play or pause button                                           # E1.0   [1] (⏯️)
23F1 FE0F     ; Basic_Emoji                  ; stopwatch                                                      # E1.0   [1] (⏱️)
23F2 FE0F     ; Basic_Emoji                  ; timer clock                                                    # E1.0   [1] (⏲️)
23F8 FE0F     ; Basic_Emoji                  ; pause button                                                   # E0.7   [1] (⏸️)
23F9 FE0F     ; Basic_Emoji                  ; stop button                                                    # E0.7   [1] (⏹️)
23FA FE0F     ; Basic_Emoji                  ; record button                                                  # E0.7   [1] (⏺️)
24C2 FE0F     ; Basic_Emoji                  ; circled M                                                      # E0.6   [1] (Ⓜ️)
25AA FE0F     ; Basic_Emoji                  ; black small square                                             # E0.6   [1] (▪️)
25AB FE0F     ; Basic_Emoji                  ; white small square                                             # E0.6   [1] (▫️)
25B6 FE0F     ; Basic_Emoji                  ; play button                                                    # E0.6   [1] (▶️)
25C0 FE0F     ; Basic_Emoji                  ; reverse button                                                 # E0.6   [1] (◀️)
25FB FE0F     ; Basic_Emoji                  ; white medium square                                            # E0.6   [1] (◻️)
25FC FE0F     ; Basic_Emoji                  ; black medium square                                            # E0.6   [1] (◼️)
2600 FE0F     ; Basic_Emoji                  ; sun                                                            # E0.6   [1] (☀️)
2601 FE0F     ; Basic_Emoji                  ; cloud                                                          # E0.6   [1] (☁️)
2602 FE0F     ; Basic_Emoji                  ; umbrella                                                       # E0.7   [1] (☂️)
2603 FE0F     ; Basic_Emoji                  ; snowman                                                        # E0.7   [1] (☃️)
2604 FE0F     ; Basic_Emoji                  ; comet                                                          # E1.0   [1] (☄️)
260E FE0F     ; Basic_Emoji                  ; telephone                                                      # E0.6   [1] (☎️)
2611 FE0F     ; Basic_Emoji                  ; check box with check                                           # E0.6   [1] (☑️)
2618 FE0F     ; Basic_Emoji                  ; shamrock                                                       # E1.0   [1] (☘️)
261D FE0F     ; Basic_Emoji                  ; index pointing up                                              # E0.6   [1] (☝️)
2620 FE0F     ; Basic_Emoji                  ; skull and crossbones                                           # E1.0   [1] (☠️)
